student_id,minutes_watched,paid_in_q2
767,0.05,0
902,34.62,0
1067,0.27,0
1151,328.58,0
1221,227.3,0
1362,13.52,0
1395,232.1,0
1436,0.23,0
1481,30.05,0
1521,776.92,0
1571,77.6,0
1661,5.18,0
1845,9.45,0
2058,0.42,0
2185,1030.28,0
2495,125.53,0
2622,15.87,0
2644,157.17,0
2984,1015.27,0
3030,50.2,0
3075,116.97,0
3107,27.43,0
3182,0.13,0
3195,354.33,0
3256,360.45,0
3495,0.08,0
3878,2.03,0
4011,54.98,0
4298,3.77,0
4439,0.37,0
4843,594.88,0
5094,1183.92,0
5683,26.87,0
5750,0.38,0
6012,6.45,0
6053,986.13,0
6741,32.97,0
6864,6.02,0
6899,13.85,0
7334,153.0,0
8641,109.55,0
8686,0.22,0
8754,249.37,0
8835,414.92,0
9031,1.55,0
9387,13.43,0
9806,14.13,0
9808,147.12,0
10902,0.23,0
11404,96.17,0
11813,0.45,0
12701,0.1,0
12898,87.75,0
13266,439.6,0
13586,1.05,0
17613,223.83,0
19741,0.42,0
21449,168.62,0
22161,0.07,0
23727,245.12,0
25494,33.18,0
26949,3.2,0
27832,5.9,0
143655,6.63,0
144174,571.18,0
144355,25.15,0
146929,2.33,0
66,0.72,0
67,27.03,0
132,71.92,0
560,2.58,0
606,18.12,0
615,18.93,0
895,18.45,0
1020,0.83,0
1036,221.62,0
1233,16.77,0
1307,5.5,0
1516,6.42,0
1520,2.1,0
1805,0.43,0
1882,11.3,0
1883,3.5,0
1907,4.68,0
1965,13.67,0
1967,0.07,0
2389,2.08,0
2454,5.38,0
2549,40.22,0
2608,6.1,0
2759,0.25,0
2788,44.87,0
3008,11.95,0
3059,37.0,0
3183,147.55,0
3271,0.95,0
3337,26.15,0
3670,2.67,0
3761,9.18,0
3894,0.18,0
4150,4.53,0
4176,37.17,0
4303,12.28,0
4335,0.25,0
4408,43.63,0
4808,1.07,0
4818,33.58,0
4819,2.75,0
4908,92.43,0
4942,33.97,0
5033,1.12,0
5069,6.58,0
5225,0.07,0
5377,0.1,0
5549,0.38,0
5592,0.13,0
5882,4.72,0
5888,157.8,0
5891,7.33,0
6362,25.88,0
6381,0.32,0
6453,19.73,0
6598,35.17,0
6608,15.82,0
6691,0.85,0
6715,32.88,0
6764,0.12,0
6780,2.2,0
7296,0.1,0
7351,0.68,0
7400,9.5,0
7455,0.1,0
7588,8.63,0
7622,1.2,0
7708,0.27,0
7815,1.95,0
7955,134.48,0
8086,0.05,0
8275,62.65,0
8398,8.68,0
8407,6.98,0
8431,313.0,0
8442,6.27,0
8969,2.08,0
9151,6.08,0
9237,165.47,0
9248,0.27,0
9268,1.4,0
9293,17.27,0
10070,0.45,0
10379,138.87,0
10593,3.95,0
10612,0.4,0
10958,62.7,0
11020,41.17,0
11112,6.98,0
11225,0.12,0
11528,5.65,0
11709,225.15,0
11717,17.67,0
11991,4.92,0
12237,7.1,0
12372,0.32,0
12382,0.22,0
12432,0.17,0
12668,1.27,0
12741,11.17,0
12915,17.62,0
12996,0.17,0
13128,6.78,0
13248,0.1,0
13296,133.23,0
13830,2.05,0
13832,1.78,0
13948,1.93,0
13979,1.57,0
14054,0.07,0
14211,8.53,0
14354,2.93,0
14369,0.67,0
15646,284.05,0
15705,0.18,0
15772,1110.18,0
15787,10.02,0
15926,0.45,0
16565,6.4,0
16729,65.18,0
16902,0.82,0
16915,0.12,0
16979,535.68,0
17126,40.32,0
17254,450.7,0
17557,0.87,0
17688,7.02,0
18311,1.32,0
18700,4.13,0
19050,161.58,0
19269,16.45,0
19677,60.83,0
19842,43.82,0
20125,3.35,0
20218,0.82,0
20365,0.17,0
20520,7.0,0
21562,0.4,0
21703,46.88,0
21736,1.43,0
21796,0.05,0
21827,0.08,0
21865,194.73,0
22083,221.65,0
22239,0.93,0
22774,4.38,0
22959,0.48,0
22980,62.22,0
23036,3.8,0
23139,3.82,0
23609,0.15,0
24165,11.97,0
24276,6.07,0
24385,0.35,0
24597,0.17,0
24774,0.05,0
24778,0.08,0
24972,19.53,0
25103,0.18,0
25507,60.12,0
25548,2.63,0
25769,7.38,0
26002,7.48,0
26179,49.25,0
26188,0.25,0
26296,0.22,0
27780,0.67,0
28322,0.27,0
29444,37.47,0
29740,0.85,0
29993,12.32,0
30084,0.05,0
30195,41.82,0
30556,0.08,0
30623,6.28,0
31491,0.58,0
31770,83.5,0
32150,0.18,0
32711,0.8,0
33495,32.97,0
34175,48.88,0
34533,31.77,0
35223,7.47,0
36300,49.43,0
38232,1.33,0
38457,1.98,0
39298,8.88,0
39688,109.42,0
39769,0.2,0
39845,0.08,0
40307,36.92,0
40679,0.62,0
41627,1.0,0
41851,0.05,0
42546,1.53,0
42902,25.43,0
43115,137.65,0
43191,187.35,0
43214,41.35,0
43604,4.97,0
43915,172.17,0
43934,0.8,0
44751,0.05,0
